MUNICIPIO,LEITOS_EXISTENTES,LATITUDE,LONGITUDE
BOCAINA,156,-22.1421831,-48.522276
BOCAIUVA,280,-17.1160208,-43.8122678
BOCAIUVA DO SUL,36,-25.206591,-49.114131
BODOCO,116,-7.777592,-39.933797
BODOQUENA,32,-20.5508775,-56.6769653
BOITUVA,213,-23.2838893,-47.6738231
BOM CONSELHO,168,-9.169191,-36.685683
BOM DESPACHO,376,-19.72246655,-45.262849183910376
BOM JARDIM,604,-3.54129,-45.606004
BOM JARDIM DA SERRA,56,-28.3380324,-49.625588
BOM JARDIM DE GOIAS,92,-16.2062659,-52.172793
BOM JARDIM DE MINAS,80,-21.9476508,-44.1905987
BOM JESUS,473,-28.6692723,-50.4346894
BOM JESUS DA LAPA,648,-13.2498754,-43.4101019
BOM JESUS DA SERRA,112,-14.374882,-40.5058063
BOM JESUS DAS SELVAS,88,-4.4878075,-46.8526639
BOM JESUS DE GOIAS,112,-18.2174587,-49.739721
BOM JESUS DO GALHO,160,-19.8283191,-42.3162256
BOM JESUS DO ITABAPOANA,1066,-21.09055205,-41.78087363210324
BOM JESUS DO TOCANTINS,124,-5.0471796,-48.5978362
BOM JESUS DOS PERDOES,52,-23.1353864,-46.4648052
BOM PRINCIPIO,172,-29.489788,-51.3566782
BOM PRINCIPIO DO PIAUI,24,-3.1912777,-41.6430185
BOM RETIRO,200,-27.798993,-49.486994
BOM RETIRO DO SUL,194,-29.6000007,-51.9359243
BOM SUCESSO,444,-21.0323516,-44.7598082
BONFIM,56,3.3613818,-59.8427241
BONFINOPOLIS,12,-16.6172709,-48.9615701
BONFINOPOLIS DE MINAS,28,-16.5660011,-45.98645
BONINAL,96,-12.7095183,-41.8299984
BONITO,400,-11.9665473,-41.2649896
BONITO DE SANTA FE,80,-7.3143332,-38.5146677
BOQUEIRAO,64,-7.487004,-36.130887
BOQUEIRAO DO LEAO,160,-29.30332,-52.4296817
BOQUIM,72,-11.1450175,-37.6204228
BOQUIRA,92,-12.8184859,-42.7270883
BORBA,212,-4.3934778,-59.5947721
BORBOREMA,104,-21.6212706,-49.074135
BORRAZOPOLIS,108,-23.9399295,-51.5842203
BOTELHOS,84,-21.6500058,-46.3947355
BOTUCATU,3740,-22.8879628,-48.4410712
BOTUPORA,172,-13.3783163,-42.5208018
BRACO DO NORTE,276,-28.2728633,-49.1622712
BRAGANCA,1350,-1.0574255,-46.7635232
BRAGANCA PAULISTA,1747,-22.9520235,-46.5418586
BRASIL NOVO,164,-3.3055853,-52.539198
BRASILANDIA,80,-21.255575,-52.0365617
BRASILEIA,316,-11.0010413,-68.7487894
BRASILEIRA,40,-4.131182,-41.7824969
BRASILIA,40434,-10.3333333,-53.2
BRASILIA DE MINAS,472,-16.2075114,-44.430559
BRASNORTE,160,-12.1218837,-58.0042714
BRASOPOLIS,96,-22.4742842,-45.6165577
BREJAO,64,-6.8289854,-45.1989113
BREJINHO,84,-6.1957907,-35.3583019
BREJINHO DE NAZARE,20,-11.0138265,-48.564626
BREJO,148,-3.6804397,-42.7529313
BREJO DA MADRE DE DEUS,512,-8.1409718,-36.3712527
BREJO DO CRUZ,128,-6.330942,-37.488316626886096
BREJO DOS SANTOS,46,-6.3769367,-37.8243125
BREJO GRANDE DO ARAGUAIA,100,-5.7011449,-48.4037308
BREJO SANTO,1064,-7.4909841,-38.9859152
BREJOES,76,-13.1033754,-39.7909837
BREJOLANDIA,140,-12.4843845,-43.9611861
BREU BRANCO,120,-3.7785073,-49.5684795
BREVES,640,-1.68036,-50.479085
BRITANIA,96,-15.2427599,-51.1602061
BROTAS,168,-22.2840884,-48.1267265
BROTAS DE MACAUBAS,64,-12.0019007,-42.6257506
BRUMADINHO,244,-20.143611,-44.2
BRUMADO,568,-14.2950215,-41.659239732941316
BRUSQUE,1560,-27.0964628,-48.9136323
BUENO BRANDAO,100,-22.441421,-46.3475825
BUENOS AIRES,68,-7.7218931,-35.326587
BUIQUE,272,-8.6239732,-37.157296
BURITAMA,144,-21.0664017,-50.1448077
BURITI,108,-3.9430944,-42.9244281
BURITI ALEGRE,136,-18.1377879,-49.0404411
BURITI BRAVO,176,-5.8391884,-43.8367876
BURITI DE GOIAS,56,-16.180644,-50.4287479
BURITI DOS LOPES,168,-3.1776723,-41.8707444
BURITI DOS MONTES,64,-5.3136171,-41.0971256
BURITICUPU,304,-4.3227472,-46.4516989
BURITIRAMA,80,-10.7148421,-43.6362327
BURITIRANA,86,-5.5897455,-47.0148915
BURITIS,392,-15.621389,-46.423889
